epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,67.8245,0.9601,0.81541,1.06555,0.9825,0.9375,0.98833,0.77059,0.8028,0.70423,0.96952,0.0016898,0.0016898,0.0016898
96,68.5424,0.93176,0.86452,1.12548,0.98311,0.875,0.97594,0.75936,0.77104,0.71009,0.96785,0.0016865,0.0016865,0.0016865
97,69.2192,0.94749,0.82892,1.07431,0.98311,0.875,0.97594,0.75936,0.77104,0.71009,0.96785,0.0016832,0.0016832,0.0016832
98,69.9106,1.00592,0.84495,1.03378,0.99235,0.9375,0.99147,0.80369,0.78801,0.64745,1.00268,0.0016799,0.0016799,0.0016799
99,70.5564,0.91631,0.75909,1.06435,0.99235,0.9375,0.99147,0.80369,0.78801,0.64745,1.00268,0.0016766,0.0016766,0.0016766
100,71.2643,0.89435,0.78316,1.01616,1,0.96224,0.995,0.81002,0.87724,0.68982,1.0843,0.0016733,0.0016733,0.0016733
101,71.9344,0.92742,0.79456,1.02893,1,0.96224,0.995,0.81002,0.87724,0.68982,1.0843,0.00167,0.00167,0.00167
102,72.6626,1.06799,0.86432,1.18334,0.8799,0.91667,0.97194,0.796,0.80219,0.7528,1.03644,0.0016667,0.0016667,0.0016667
103,73.3332,0.95976,0.79784,1.06938,0.8799,0.91667,0.97194,0.796,0.80219,0.7528,1.03644,0.0016634,0.0016634,0.0016634
104,74.0756,0.87372,0.74131,1.02637,0.87106,0.9375,0.94874,0.73992,0.76612,0.78998,0.99098,0.0016601,0.0016601,0.0016601
105,74.7544,0.94764,0.72298,1.05819,0.87106,0.9375,0.94874,0.73992,0.76612,0.78998,0.99098,0.0016568,0.0016568,0.0016568
106,75.479,0.93157,0.81115,1.06522,0.86924,0.9375,0.95359,0.80513,0.6928,0.74073,0.96209,0.0016535,0.0016535,0.0016535
107,76.158,1.01009,0.77465,1.0889,0.86924,0.9375,0.95359,0.80513,0.6928,0.74073,0.96209,0.0016502,0.0016502,0.0016502
108,76.8616,0.97562,0.80833,1.07991,1,0.93481,0.99147,0.86905,0.67914,0.68147,0.94808,0.0016469,0.0016469,0.0016469
109,77.5282,0.9758,0.803,1.11035,1,0.93481,0.99147,0.86905,0.67914,0.68147,0.94808,0.0016436,0.0016436,0.0016436
110,78.225,0.86706,0.80567,1.05527,0.93528,1,0.98441,0.83902,0.74188,0.66227,0.95326,0.0016403,0.0016403,0.0016403
111,78.8931,0.8866,0.72902,1.00052,0.93528,1,0.98441,0.83902,0.74188,0.66227,0.95326,0.001637,0.001637,0.001637
112,79.5909,0.94658,0.75849,1.06506,0.93564,1,0.98794,0.83364,0.70114,0.63517,0.95258,0.0016337,0.0016337,0.0016337
113,80.2557,0.86994,0.71124,1.01037,0.93564,1,0.98794,0.83364,0.70114,0.63517,0.95258,0.0016304,0.0016304,0.0016304
114,80.9652,0.89643,0.79041,1.01131,0.94073,1,0.99147,0.82317,0.75172,0.66609,1.01666,0.0016271,0.0016271,0.0016271
115,81.6544,0.86217,0.81708,1.05892,0.94073,1,0.99147,0.82317,0.75172,0.66609,1.01666,0.0016238,0.0016238,0.0016238
116,82.3716,0.94043,0.78761,1.10197,1,0.93496,0.99147,0.81748,0.7169,0.6397,0.99504,0.0016205,0.0016205,0.0016205
117,83.0308,0.93438,0.75418,1.05632,1,0.93496,0.99147,0.81748,0.7169,0.6397,0.99504,0.0016172,0.0016172,0.0016172
118,83.7603,1.01616,0.79851,1.10135,0.98247,1,0.995,0.82894,0.69788,0.61626,0.96922,0.0016139,0.0016139,0.0016139
119,84.4246,0.87454,0.73219,1.04269,0.98247,1,0.995,0.82894,0.69788,0.61626,0.96922,0.0016106,0.0016106,0.0016106
120,85.1283,0.93335,0.75925,1.07687,0.98296,1,0.995,0.76932,0.72717,0.60059,0.97979,0.0016073,0.0016073,0.0016073
121,85.787,1.01868,0.71897,1.12124,0.98296,1,0.995,0.76932,0.72717,0.60059,0.97979,0.001604,0.001604,0.001604
122,86.4997,1.02298,0.78485,1.09289,0.83736,1,0.9698,0.79266,0.68101,0.63144,0.96692,0.0016007,0.0016007,0.0016007
123,87.1682,0.87208,0.71215,1.04162,0.83736,1,0.9698,0.79266,0.68101,0.63144,0.96692,0.0015974,0.0015974,0.0015974
124,87.8967,0.94163,0.76532,1.09858,0.88225,0.93666,0.973,0.79345,0.6673,0.64568,0.95126,0.0015941,0.0015941,0.0015941
125,88.5579,0.90415,0.74728,1.08294,0.88225,0.93666,0.973,0.79345,0.6673,0.64568,0.95126,0.0015908,0.0015908,0.0015908
126,89.2823,0.90716,0.77008,1.05846,0.89093,1,0.98441,0.79416,0.67242,0.5975,0.95427,0.0015875,0.0015875,0.0015875
127,89.9439,0.89589,0.6806,1.05248,0.89093,1,0.98441,0.79416,0.67242,0.5975,0.95427,0.0015842,0.0015842,0.0015842
128,90.6651,0.91717,0.7536,1.07013,0.97959,1,0.995,0.78607,0.71883,0.59968,1.02119,0.0015809,0.0015809,0.0015809
129,91.3567,0.86986,0.68608,1.01785,0.97959,1,0.995,0.78607,0.71883,0.59968,1.02119,0.0015776,0.0015776,0.0015776
130,92.0797,0.89355,0.68755,1.09185,0.99299,1,0.995,0.78739,0.78913,0.62485,1.03537,0.0015743,0.0015743,0.0015743
131,92.7788,0.84744,0.69662,1.02136,0.99299,1,0.995,0.78739,0.78913,0.62485,1.03537,0.001571,0.001571,0.001571
132,93.5043,0.78063,0.674,0.9882,0.92173,1,0.99147,0.81164,0.68869,0.69066,0.96766,0.0015677,0.0015677,0.0015677
133,94.1735,0.86726,0.68018,1.03826,0.92173,1,0.99147,0.81164,0.68869,0.69066,0.96766,0.0015644,0.0015644,0.0015644
134,94.8941,0.79458,0.66658,1.04456,0.99679,1,0.995,0.79384,0.69586,0.68164,0.95534,0.0015611,0.0015611,0.0015611
135,95.5562,0.79313,0.62025,0.96733,0.99679,1,0.995,0.79384,0.69586,0.68164,0.95534,0.0015578,0.0015578,0.0015578
136,96.249,0.83133,0.64928,1.01522,0.84032,0.98726,0.94678,0.74912,0.72177,0.70819,0.9654,0.0015545,0.0015545,0.0015545
137,96.9035,0.80498,0.66103,0.99918,0.84032,0.98726,0.94678,0.74912,0.72177,0.70819,0.9654,0.0015512,0.0015512,0.0015512
138,97.6123,0.83303,0.70169,1.05822,0.90795,0.9375,0.94364,0.74393,0.71904,0.66856,0.96725,0.0015479,0.0015479,0.0015479
139,98.3247,0.88581,0.72873,1.04137,0.90795,0.9375,0.94364,0.74393,0.71904,0.66856,0.96725,0.0015446,0.0015446,0.0015446
140,99.0277,0.86576,0.69469,1.02102,0.93381,1,0.98029,0.77334,0.68231,0.67131,0.94329,0.0015413,0.0015413,0.0015413
141,99.7048,0.88105,0.69087,1.03316,0.93381,1,0.98029,0.77334,0.68231,0.67131,0.94329,0.001538,0.001538,0.001538
142,100.419,0.95969,0.73112,1.09413,0.98418,1,0.995,0.81731,0.65768,0.64465,0.9331,0.0015347,0.0015347,0.0015347
143,101.094,0.76217,0.647,0.98261,0.98418,1,0.995,0.81731,0.65768,0.64465,0.9331,0.0015314,0.0015314,0.0015314
144,101.804,0.82441,0.66532,1.06633,0.98321,1,0.995,0.82786,0.59899,0.59994,0.90832,0.0015281,0.0015281,0.0015281
145,102.473,0.85647,0.64988,0.98729,0.98321,1,0.995,0.82786,0.59899,0.59994,0.90832,0.0015248,0.0015248,0.0015248
146,103.186,0.83127,0.65112,0.99436,0.96737,0.9375,0.98553,0.78197,0.67392,0.64946,0.95113,0.0015215,0.0015215,0.0015215
147,103.835,0.78954,0.67381,1.01287,0.96737,0.9375,0.98553,0.78197,0.67392,0.64946,0.95113,0.0015182,0.0015182,0.0015182
148,104.551,0.77962,0.62936,0.99923,0.93164,0.9375,0.96965,0.73039,0.70574,0.70561,0.97549,0.0015149,0.0015149,0.0015149
149,105.202,0.83286,0.64744,1.03678,0.93164,0.9375,0.96965,0.73039,0.70574,0.70561,0.97549,0.0015116,0.0015116,0.0015116
